ts_utc,name,tier,source
2026-07-02T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2026-07-14T12:30:00+00:00,CPI,high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2026-07-15T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2026-08-07T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2026-08-12T12:30:00+00:00,CPI,high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2026-08-13T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2026-09-04T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2026-09-10T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2026-09-11T12:30:00+00:00,CPI,high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2026-10-02T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2026-10-14T12:30:00+00:00,CPI,high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2026-10-15T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2026-11-06T13:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2026-11-10T13:30:00+00:00,CPI,high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2026-11-13T13:30:00+00:00,PPI,medium,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2026-12-04T13:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2026-12-10T13:30:00+00:00,CPI,high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2026-12-15T13:30:00+00:00,PPI,medium,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/ppi.htm
